Date,Time,Inc_RSV_CAAP_12,Pop_12,RSV_CAAP_Cases
2009-07-01,61,0,15569,0
2009-08-01,62,0,15569,0
2009-09-01,63,0,15569,0
2009-10-01,64,0.1124029,15569,1.75
2009-11-01,65,0,15569,0
2009-12-01,66,0,15569,0
2010-01-01,67,0.8738926,15569,13.6056338
2010-02-01,68,2.5872376,15569,40.28070175
2010-03-01,69,2.7833087,15569,43.33333333
2010-04-01,70,0.5839109,15569,9.090909091
2010-05-01,71,0.1124029,15569,1.75
2010-06-01,72,0.1651634,15569,2.571428571
2010-07-01,73,0,15855,0
2010-08-01,74,0,15855,0
2010-09-01,75,0,15855,0
2010-10-01,76,0,15855,0
2010-11-01,77,0.9690089,15855,15.36363636
2010-12-01,78,1.6110917,15855,25.54385965
2011-01-01,79,4.9952696,15855,79.2
2011-02-01,80,1.6475529,15855,26.12195122
2011-03-01,81,0.1892148,15855,3
2011-04-01,82,0,15855,0
2011-05-01,83,0,15855,0
2011-06-01,84,0,15855,0
2011-07-01,85,0,16414,0
2011-08-01,86,0,16414,0
2011-09-01,87,0,16414,0
2011-10-01,88,0,16414,0
2011-11-01,89,0,16414,0
2011-12-01,90,0.1495397,16414,2.454545455
2012-01-01,91,1.0579618,16414,17.36538462
2012-02-01,92,0.6450734,16414,10.58823529
2012-03-01,93,0.7833035,16414,12.85714286
2012-04-01,94,0.3698933,16414,6.071428571
2012-05-01,95,0.0609236,16414,1
2012-06-01,96,0,16414,0
2012-07-01,97,0,16844,0
2012-08-01,98,0,16844,0
2012-09-01,99,0,16844,0
2012-10-01,100,0,16844,0
2012-11-01,101,0.1741471,16844,2.933333333
2012-12-01,102,0.6705128,16844,11.29411765
2013-01-01,103,2.0604902,16844,34.70689655
2013-02-01,104,1.1082087,16844,18.66666667
2013-03-01,105,0.2943679,16844,4.958333333
2013-04-01,106,0,16844,0
2013-05-01,107,0,16844,0
2013-06-01,108,0,16844,0
2013-07-01,109,0,17043.5,0
2013-08-01,110,0,17043.5,0
2013-09-01,111,0,17043.5,0
2013-10-01,112,0.0293367,17043.5,0.5
2013-11-01,113,0.2301802,17043.5,3.923076923
2013-12-01,114,0.4400505,17043.5,7.5
2014-01-01,115,0.6759175,17043.5,11.52
2014-02-01,116,0.4160477,17043.5,7.090909091
2014-03-01,117,0.4905096,17043.5,8.36
2014-04-01,118,0.0853431,17043.5,1.454545455
2014-05-01,119,0,17043.5,0
2014-06-01,120,0.0938774,17043.5,1.6
2014-07-01,121,0,17644.5,0
2014-08-01,122,0.0566749,17644.5,1
2014-09-01,123,0.0566749,17644.5,1
2014-10-01,124,0.1020148,17644.5,1.8
2014-11-01,125,0.6142826,17644.5,10.83870968
2014-12-01,126,2.0249264,17644.5,35.72881356
2015-01-01,127,1.8548144,17644.5,32.72727273
2015-02-01,128,0.1236543,17644.5,2.181818182
2015-03-01,129,0.0701689,17644.5,1.238095238
2015-04-01,130,0.0728677,17644.5,1.285714286
2015-05-01,131,0,17644.5,0
2015-06-01,132,0,17644.5,0
2015-07-01,133,0,18293,0
2015-08-01,134,0,18293,0
2015-09-01,135,0,18293,0
2015-10-01,136,0,18293,0
2015-11-01,137,0.478325,18293,8.75
2015-12-01,138,1.0402805,18293,19.02985075
2016-01-01,139,1.5565832,18293,28.47457627
2016-02-01,140,0.4799917,18293,8.780487805
2016-03-01,141,0.038266,18293,0.7
2016-04-01,142,0.0298177,18293,0.545454545
2016-05-01,143,0.0578813,18293,1.058823529
