Date,Time,Inc_CAAP_12,Pop_12,CAAP_Cases
2015-08-01,134,0.109331438,18293,2
2015-09-01,135,0.218662877,18293,4
2015-10-01,136,0.491991472,18293,9
2015-11-01,137,1.093314383,18293,20
2015-12-01,138,2.787951676,18293,51
2016-01-01,139,3.006614552,18293,55
2016-02-01,140,1.639971574,18293,30
2016-03-01,141,1.147980102,18293,21
2016-04-01,142,0.65598863,18293,12
2016-05-01,143,0.983982944,18293,18
2016-06-01,144,0.273328596,18293,5
2016-07-01,145,0.210881485,18968,4
2016-08-01,146,0.263601856,18968,5
2016-09-01,147,0,18968,0
2016-10-01,148,0.158161113,18968,3
2016-11-01,149,0.738085196,18968,14
2016-12-01,150,2.161535217,18968,41
2017-01-01,151,4.375790806,18968,83
2017-02-01,152,4.428511177,18968,84
2017-03-01,153,2.161535217,18968,41
2017-04-01,154,0.47448334,18968,9
2017-05-01,155,0.316322227,18968,6
2017-06-01,156,0.316322227,18968,6
2017-07-01,157,0.051538422,19403,1
2017-08-01,158,0.154615266,19403,3
2017-09-01,159,0.154615266,19403,3
2017-10-01,160,0.360768953,19403,7
2017-11-01,161,0.515384219,19403,10
2017-12-01,162,1.958460032,19403,38
2018-01-01,163,2.267690563,19403,44
2018-02-01,164,2.834613204,19403,55
2018-03-01,165,1.08230686,19403,21
2018-04-01,166,0.463845797,19403,9
2018-05-01,167,0.515384219,19403,10
2018-06-01,168,0.309230531,19403,6
2018-07-01,169,0.203396725,19666,4
2018-08-01,170,0.101698363,19666,2
2018-09-01,171,0.254245907,19666,5
2018-10-01,172,0.203396725,19666,4
2018-11-01,173,0.508491813,19666,10
2018-12-01,174,1.423777077,19666,28
2019-01-01,175,2.542459066,19666,50
2019-02-01,176,2.491609885,19666,49
2019-03-01,177,2.593308248,19666,51
2019-04-01,178,1.067832808,19666,21
2019-05-01,179,0.254245907,19666,5
2019-06-01,180,0.152547544,19666,3
